epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,factorization_time,solve_time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
0.0001,8192,8,par,mean,9.63278,0.896188,3.3061,1.10516,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,8,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,16,par,0,9.63278,0.896188,3.36844,1.11489,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,16,par,mean,9.63278,0.896188,3.36844,1.11489,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,16,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,1,par,0,16.8841,0.940773,25.4134,2.51282,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,1,par,mean,16.8841,0.940773,25.4134,2.51282,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,2,par,0,16.8841,0.940773,15.4695,2.52625,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,2,par,mean,16.8841,0.940773,15.4695,2.52625,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,2,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,4,par,0,16.8841,0.940773,10.7802,2.5478,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,4,par,mean,16.8841,0.940773,10.7802,2.5478,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,4,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,8,par,0,16.8841,0.940773,9.66293,2.55862,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,8,par,mean,16.8841,0.940773,9.66293,2.55862,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,8,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,16,par,0,16.8841,0.940773,9.44572,2.51771,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,16,par,mean,16.8841,0.940773,9.44572,2.51771,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,16,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
